Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
34,DAa4186Cf3C41aA,Bowers Inc,https://www.callahan.net/,Montenegro,Managed multi-state approach,1987,Information Technology / IT,3010
35,2b786ccFf200134,Shields and Sons,https://www.boyer.biz/,Chad,Mandatory explicit ability,2000,Restaurants,4856
36,Ecb585A12eff395,Carlson Ltd,http://oconnell-bradley.com/,Burundi,Diverse impactful access,1988,Medical Practice,4997
37,90080AdD0aBC4De,Griffith-Beard,http://www.garrett-tapia.com/,Guinea-Bissau,Synergized responsive array,1992,Research Industry,182
38,ECC1bb4B2a33e50,Odom Ltd,http://hensley.com/,Kiribati,Advanced grid-enabled forecast,1997,Outsourcing / Offshoring,9991
39,CeF33bA69Ba2CE8,"Case, Tyler and Archer",https://www.hughes.com/,Canada,Digitized dynamic orchestration,1982,Fine Art,7328
40,8B2FcAEC4B2437F,Stephens and Sons,https://mcmillan.com/,Palestinian Territory,Optimized dedicated parallelism,2003,Luxury Goods / Jewelry,2695
41,cdcc7ACdcEBD8bC,Farrell-Richard,https://www.sanders.com/,El Salvador,Quality-focused motivating benchmark,2007,Industrial Automation,4180
42,BA9DD6ecbCb7bbb,"Wilson, Monroe and Miller",http://www.underwood.com/,Pakistan,De-engineered real-time extranet,1996,Online Publishing,5202
43,e485fAC8d1B39Ab,Koch LLC,https://www.forbes.com/,Isle of Man,Realigned 24/7 Graphical User Interface,2002,Computer Software / Engineering,53
44,9Ce6Ef5428393de,"Shannon, Livingston and Strong",https://sloan.com/,Kazakhstan,Configurable zero-defect installation,2020,Tobacco,2640
45,8A1d1Dca76f57aD,Salazar-Gamble,http://www.montoya.com/,Niue,Public-key background matrices,2005,Graphic Design / Web Design,9002
46,C4c7EBA027724cc,Cherry-Parrish,https://carey.com/,Luxembourg,Integrated well-modulated superstructure,2022,Plastics,7480
47,B5a29bcb0279932,Sanford-Nelson,http://www.clay.info/,Armenia,Extended secondary portal,2004,Public Safety,4308
48,B171057277a9efA,"Gallegos, Andrade and Curtis",http://www.shelton-harding.biz/,Switzerland,Front-line bifurcated workforce,1980,Professional Training,4909
49,79046d01CFecB7c,Patrick-Cole,http://www.johnson-nelson.info/,American Samoa,Implemented clear-thinking instruction set,1997,Construction,7102
50,49AB929E95588bb,Ortiz PLC,https://www.french.com/,Saudi Arabia,Decentralized encompassing open architecture,1995,Farming,795
51,E5Dac0fEEada3E3,"Blackwell, Ellis and Harrington",http://cantu.com/,Congo,Total national concept,1982,E - Learning,9328
52,8B5a5f4CDC058dA,Bright and Sons,https://www.walsh-savage.net/,Djibouti,Grass-roots executive circuit,2007,Management Consulting,3055
53,D131ADE6262cB12,"Mendoza, Kelley and Anderson",https://flores-holloway.info/,Ecuador,Profound actuating hub,2004,Farming,9068
54,a5B65ef3A58b64e,"Spence, Quinn and Stanley",http://shelton-phillips.com/,Latvia,Re-contextualized 6thgeneration protocol,2015,Graphic Design / Web Design,2009
55,Ea6ddDC6e052aA2,Morgan LLC,https://www.bentley-tyler.biz/,Saint Helena,Compatible incremental contingency,1975,Logistics / Procurement,9982
56,09DE5BDfe19AFFa,Mayo LLC,https://www.mcmahon.org/,Kyrgyz Republic,Automated methodical moderator,2010,International Trade / Development,7870
57,3DABe9CA8C8Abdf,Randall LLC,https://haley.info/,Bangladesh,Cloned grid-enabled time-frame,2013,Museums / Institutions,5578
58,92e60C0f5f3EE2d,Valenzuela Ltd,http://miller.com/,United States Virgin Islands,Synergized solution-oriented concept,1999,Plastics,1937
59,6d93EcCa083f1eA,"Kline, Mueller and Dickson",https://www.davis.com/,Lao People's Democratic Republic,Front-line well-modulated support,1986,Supermarkets,3433
60,0ADfC405cE3275A,Colon-Trujillo,https://guerrero-brock.com/,Brunei Darussalam,Secured cohesive application,1991,Mining / Metals,3299
61,AEb4f5cE6a8a5ac,Madden-Padilla,http://www.willis-york.com/,Yemen,Monitored clear-thinking methodology,2024,Philanthropy,7314
62,B9a5C1D1e0cD7C1,Charles PLC,https://potts.net/,Montserrat,Polarized solution-oriented moderator,1972,Wine / Spirits,6191
63,adCE3fEefdE416A,"Osborn, Mcgrath and Cooper",http://www.dominguez.com/,Luxembourg,Team-oriented foreground secured line,1993,Mental Health Care,3713
64,96B4DdadCdB3AFA,Stone Inc,http://www.bowman.net/,Martinique,Optimized well-modulated interface,1976,Online Publishing,2146
65,Bd33229cDEb45FC,"Barron, Gentry and Sanford",https://pineda-ray.com/,Jersey,Implemented contextually-based policy,2004,Wireless,8078
66,DA76C55DFaa51A8,Richard Group,https://mcconnell.com/,Yemen,Optimized well-modulated monitoring,2021,Media Production,5555
67,AeAF1096215BF75,Cisneros-Ochoa,http://www.george-cummings.com/,Libyan Arab Jamahiriya,User-centric web-enabled challenge,1992,Music,5153
68,FCCeBD9faFBBCdE,"Cabrera, Nolan and Brady",http://beltran.com/,Anguilla,Implemented attitude-oriented forecast,2004,Public Relations / PR,7852
69,a8a8aDf21cAEbc1,Diaz Group,http://booth.biz/,Germany,Visionary client-server encryption,1985,Other Industry,6161
70,e0e2FCF8d99bB6C,"Berg, Romero and Santiago",http://moses-frost.com/,Afghanistan,Polarized modular product,1984,Media Production,1814
71,c05C3d5fD8e9DE4,"Cohen, Dickson and Chan",https://villarreal.org/,Guam,Ergonomic national software,2021,Security / Investigations,6472
72,941a6B3C783FB4D,Mccullough PLC,https://www.leonard.com/,Morocco,Intuitive radical functionalities,2021,Shipbuilding,8858
73,0Aa82AD0AFf6Ea7,"Harrison, Beck and West",http://ochoa-berg.org/,Belarus,Pre-emptive solution-oriented hardware,1993,Recreational Facilities / Services,5596
74,B8Aaaa690Ada616,"Pugh, Wiley and Maddox",http://www.molina.com/,Seychelles,Re-contextualized stable access,2013,Religious Institutions,471
75,25BdF8AA4fcaDf8,"Sloan, Bird and Douglas",http://hancock.com/,Cook Islands,Decentralized bifurcated leverage,1990,Computer Software / Engineering,3696
76,aB64A2eACA46F2a,Jensen-Spears,https://moody-hatfield.com/,Chad,Digitized well-modulated Local Area Network,1993,Hospital / Health Care,2958
77,dcB041dD606BD25,"Johnston, Rice and Hansen",http://montoya.biz/,Kenya,Synergistic directional functionalities,1979,Hospitality,4422
78,766Ca2914Df0c83,Zhang PLC,http://www.farley.com/,Timor-Leste,Pre-emptive didactic Internet solution,2024,Transportation,1501
79,A050fbacaEEE3Da,Austin LLC,http://www.petersen.com/,South Georgia and the South Sandwich Islands,Inverse national time-frame,1995,Sporting Goods,6802
80,efEcCFfe1C20fF2,Everett-Irwin,https://davidson.com/,Tanzania,Realigned high-level middleware,1995,Fundraising,6901
81,7f43340C63B032A,"Lane, Hernandez and Crawford",https://wade.com/,Azerbaijan,Expanded attitude-oriented strategy,2000,Market Research,6006
82,c9a63BcE98aBefC,"Velazquez, Hawkins and Farmer",http://www.hanson.org/,Namibia,Pre-emptive directional customer loyalty,1981,Restaurants,1260
83,c749D833cc1c6dB,Kirby Inc,http://www.lewis.com/,Qatar,Networked tertiary website,1975,Computer Software / Engineering,810
84,dB9C90bed72Be6C,Glass LLC,https://levy.org/,Saint Barthelemy,Automated bottom-line application,2010,Civic / Social Organization,5423
85,4C56F13DB3BBB47,Weber-Olson,https://www.guerrero.biz/,Egypt,Open-architected multi-tasking analyzer,2024,Hospitality,3325
86,6Ae60fDB31ada95,"Hicks, Davies and Mendez",https://www.cisneros-steele.info/,Barbados,Ergonomic responsive algorithm,1991,Translation / Localization,591
87,e5a01c44F2fD1Ca,Santiago LLC,https://wheeler.org/,Austria,Fundamental full-range leverage,2003,Military Industry,7996
88,44be8e6FcCcCedA,Winters and Sons,http://www.stephens.com/,Liberia,Ergonomic zero administration knowledgebase,1998,Individual / Family Services,2488
89,DcCCcfa12A2fc8c,Li Group,https://www.briggs.com/,Lebanon,Self-enabling grid-enabled project,2023,Management Consulting,822
90,AdBEb66CdACf2Ee,"Case, Cannon and Ellison",http://www.luna.com/,Romania,Seamless multi-tasking support,1990,Hospital / Health Care,740
91,782D309DA2F5026,"Duran, Barber and Yu",http://willis-wade.com/,Korea,Synchronized bi-directional throughput,1970,Food Production,6760
92,DFA559680ECF9FB,Crane-Gomez,http://contreras-york.com/,Brunei Darussalam,Horizontal hybrid toolset,1989,Logistics / Procurement,8935
93,2FbfBbdAe5F601d,"Cantu, Bradford and Medina",http://www.watkins-brewer.info/,Brunei Darussalam,Future-proofed directional contingency,2003,Judiciary,2078
94,50ebEA47ABb5B9B,"Cisneros, Maddox and Molina",http://www.castillo.info/,Peru,Profit-focused hybrid contingency,1970,Capital Markets / Hedge Fund / Private Equity,4810
95,D9B1CFA095EAc04,"Pearson, Leonard and Gregory",https://www.serrano.info/,Albania,Function-based mobile pricing structure,2005,Public Safety,8237
96,AA12fCeBb4FD0a7,Conley-David,http://huerta.org/,Azerbaijan,Operative dynamic infrastructure,1997,Alternative Medicine,8276
97,a734DA47eC2eaFc,Hill-Velazquez,https://holden-le.com/,Pitcairn Islands,Multi-channeled multimedia projection,1992,Commercial Real Estate,348
98,a0aeaAeD93bFF78,Bird Ltd,https://williams.biz/,Moldova,Persistent secondary Graphical User Interface,2012,Investment Banking / Venture,7312
99,d9C3fF30434BC50,Dixon PLC,http://mckenzie-benson.info/,Ghana,Assimilated explicit architecture,2001,Public Safety,2441
100,dC8Faca4bD1Da8D,Conway-Moran,https://www.mejia.com/,United States Minor Outlying Islands,Multi-channeled secondary matrices,2006,Wholesale,2511
